adjective,score
terrible,10
horrible,8
awful,5
bad,25
sad,20
angry,18
dangerous,15
negative,28
difficult,30
poor,30
wrong,22
weak,28
old,40
slow,35
dark,40
cold,40
empty,35
hard,32
small,40
short,40
dirty,20
ugly,18
afraid,32
worried,28
confused,32
tired,38
sick,40
boring,35
strange,40
quiet,40
acceptable,40
normal,51
different,50
possible,50
simple,73
certain,83
clear,75
correct,83
available,65
actual,50
basic,50
common,50
complete,75
current,70
general,50
main,60
real,80
similar,60
specific,60
sure,65
typical,51
usual,51
good,75
great,85
excellent,95
wonderful,92
amazing,90
beautiful,84
happy,88
nice,72
lovely,76
perfect,100
fantastic,91
awesome,92
brilliant,90
easy,80
new,70
big,60
large,55
long,60
high,70
strong,82
young,60
fast,70
bright,75
clean,78
safe,80
close,70
fine,71
pretty,70
funny,80
healthy,85
wealthy,70
important,82
interesting,78
special,84
popular,75
famous,78
true,85
kind,82
free,75
warm,68
cool,65
fresh,72
sweet,70
rich,65
smart,82
wise,84
brave,85
honest,86
fair,63
right,70
