verb,score
hate,10
destroy,12
kill,8
hurt,15
damage,18
fail,20
lose,22
break,25
cry,28
fear,30
worry,32
suffer,25
die,15
fall,35
fight,30
attack,20
steal,15
lie,18
cheat,18
betray,12
abandon,20
reject,22
criticize,35
blame,32
punish,28
disappoint,30
regret,35
doubt,38
struggle,38
complain,40
argue,40
hesitate,42
question,45
stop,48
wait,50
sit,50
stand,50
walk,50
run,52
move,55
work,58
try,60
make,62
do,65
use,60
take,58
give,68
get,65
go,60
come,62
see,60
know,70
think,68
feel,62
want,60
need,58
say,60
tell,62
ask,65
answer,68
talk,65
speak,68
listen,70
hear,65
read,70
write,68
learn,75
teach,78
study,72
understand,75
help,80
support,82
care,85
love,90
enjoy,85
like,78
prefer,72
choose,70
decide,72
plan,70
hope,75
wish,72
dream,75
believe,78
trust,85
respect,82
appreciate,85
value,80
celebrate,88
achieve,85
succeed,90
win,88
improve,82
grow,80
develop,78
create,82
build,80
inspire,88
encourage,85
motivate,85
empower,88
smile,85
laugh,88
play,82
dance,85
sing,85
