form,lemma
worse,bad
worst,bad
badder,bad
baddest,bad
sadder,sad
saddest,sad
angrier,angry
angriest,angry
more dangerous,dangerous
most dangerous,dangerous
more negative,negative
most negative,negative
more difficult,difficult
most difficult,difficult
poorer,poor
poorest,poor
worse,wrong
worst,wrong
weaker,weak
weakest,weak
older,old
oldest,old
elder,old
eldest,old
slower,slow
slowest,slow
darker,dark
darkest,dark
colder,cold
coldest,cold
emptier,empty
emptiest,empty
harder,hard
hardest,hard
smaller,small
smallest,small
shorter,short
shortest,short
dirtier,dirty
dirtiest,dirty
uglier,ugly
ugliest,ugly
more afraid,afraid
most afraid,afraid
more worried,worried
most worried,worried
more confused,confused
most confused,confused
more tired,tired
most tired,tired
sicker,sick
sickest,sick
more boring,boring
most boring,boring
stranger,strange
strangest,strange
quieter,quiet
quietest,quiet
more acceptable,acceptable
most acceptable,acceptable
more normal,normal
most normal,normal
more different,different
most different,different
more possible,possible
most possible,possible
simpler,simple
simplest,simple
more certain,certain
most certain,certain
clearer,clear
clearest,clear
more correct,correct
most correct,correct
more available,available
most available,available
more actual,actual
most actual,actual
more basic,basic
most basic,basic
more common,common
most common,common
more complete,complete
most complete,complete
more current,current
most current,current
more general,general
most general,general
more main,main
most main,main
more real,real
most real,real
more similar,similar
most similar,similar
more specific,specific
most specific,specific
surer,sure
surest,sure
more typical,typical
most typical,typical
more usual,usual
most usual,usual
better,good
best,good
greater,great
greatest,great
more excellent,excellent
most excellent,excellent
more wonderful,wonderful
most wonderful,wonderful
more amazing,amazing
most amazing,amazing
more beautiful,beautiful
most beautiful,beautiful
happier,happy
happiest,happy
nicer,nice
nicest,nice
lovelier,lovely
loveliest,lovely
more perfect,perfect
most perfect,perfect
more fantastic,fantastic
most fantastic,fantastic
more awesome,awesome
most awesome,awesome
more brilliant,brilliant
most brilliant,brilliant
easier,easy
easiest,easy
newer,new
newest,new
bigger,big
biggest,big
larger,large
largest,large
longer,long
longest,long
higher,high
highest,high
stronger,strong
strongest,strong
younger,young
youngest,young
faster,fast
fastest,fast
brighter,bright
brightest,bright
cleaner,clean
cleanest,clean
safer,safe
safest,safe
closer,close
closest,close
finer,fine
finest,fine
prettier,pretty
prettiest,pretty
funnier,funny
funniest,funny
healthier,healthy
healthiest,healthy
wealthier,wealthy
wealthiest,wealthy
more important,important
most important,important
more interesting,interesting
most interesting,interesting
more special,special
most special,special
more popular,popular
most popular,popular
more famous,famous
most famous,famous
truer,true
truest,true
kinder,kind
kindest,kind
freer,free
freest,free
warmer,warm
warmest,warm
cooler,cool
coolest,cool
fresher,fresh
freshest,fresh
sweeter,sweet
sweetest,sweet
richer,rich
richest,rich
smarter,smart
smartest,smart
wiser,wise
wisest,wise
braver,brave
bravest,brave
more honest,honest
most honest,honest
fairer,fair
fairest,fair
righter,right
rightest,right
